CODE_CITY,CITY,UF,LATITUDE,LONGITUDE,HEIGHT,NM_UF
2919553,Luís Eduardo Magalhães,BA,-12.0783722561969,-45.8004644064563,768.531308,BAHIA
1712454,Luzinópolis,TO,-6.19398966023577,-47.856828041414,201.753297,TOCANTINS
2106300,Magalhães De Almeida,MA,-3.3966676742208,-42.2015066913751,17.420408,MARANHÃO
2205904,Manoel Emídio,PI,-8.01135867397569,-43.8754746716661,245.405068,PIAUÍ
2920452,Mansidão,BA,-10.715828960029,-44.0364854095632,514.985476,BAHIA
2206001,Marcos Parente,PI,-7.11929537745121,-43.8883140086213,283.947438,PIAUÍ
1712504,Marianópolis Do Tocantins,TO,-9.79888035935058,-49.6510339944378,198.482168,TOCANTINS
2106409,Mata Roma,MA,-3.61904550989372,-43.1203894235718,88.344559,MARANHÃO
1712702,Mateiros,TO,-10.5444288460778,-46.412465743092,520.974283,TOCANTINS
2106607,Matões,MA,-5.52246501943405,-43.201208282913,186.948543,MARANHÃO
2106631,Matões Do Norte,MA,-3.62751878021672,-44.5502445069402,34.689749,MARANHÃO
1712801,Maurilândia Do Tocantins,TO,-5.95256642121045,-47.5048799601751,151.011032,TOCANTINS
2106672,Milagres Do Maranhão,MA,-3.58220664139805,-42.6107528325103,26.50058,MARANHÃO
1713205,Miracema Do Tocantins,TO,-9.56834607764652,-48.3879913115193,190.429632,TOCANTINS
2106706,Mirador,MA,-6.37756569538775,-44.3626097938789,187.079195,MARANHÃO
2106755,Miranda Do Norte,MA,-3.56264477442983,-44.5842756917321,66.62825,MARANHÃO
1713304,Miranorte,TO,-9.51740473109312,-48.5926319369139,225.601835,TOCANTINS
2206605,Monte Alegre Do Piauí,PI,-9.75583366808834,-45.2957402208575,447.659628,PIAUÍ
1713601,Monte Do Carmo,TO,-10.7635421946238,-48.1104200299112,305.379892,TOCANTINS
1713700,Monte Santo Do Tocantins,TO,-10.005591431794,-48.9908906033935,295.556787,TOCANTINS
2107001,Montes Altos,MA,-5.82856250416417,-47.0704395080146,249.583101,MARANHÃO
2206654,Morro Cabeça No Tempo,PI,-9.71931949215443,-43.9018743653614,504.15628,PIAUÍ
1713957,Muricilândia,TO,-7.13851928516033,-48.6067452770067,182.756984,TOCANTINS
1714203,Natividade,TO,-11.7053573825042,-47.7272575338232,335.696204,TOCANTINS
1714302,Nazaré,TO,-6.37255796928561,-47.6669771825263,210.04848,TOCANTINS
2107209,Nina Rodrigues,MA,-3.46246428944702,-43.9044847603497,17.366039,MARANHÃO
2107258,Nova Colinas,MA,-7.12056600356251,-46.2593252229153,405.571674,MARANHÃO
2107308,Nova Iorque,MA,-6.73320330579158,-44.0486267271013,201.505273,MARANHÃO
1714880,Nova Olinda,TO,-7.6333149106925,-48.4248067900164,252.491259,TOCANTINS
1715002,Nova Rosalândia,TO,-10.5668711393323,-48.9061807245023,262.599744,TOCANTINS
1715101,Novo Acordo,TO,-9.96848646570169,-47.6681483922167,226.037328,TOCANTINS
1715150,Novo Alegre,TO,-12.9099386744081,-46.5772973536675,514.289552,TOCANTINS
1715259,Novo Jardim,TO,-11.815875050149,-46.6307872958899,640.884544,TOCANTINS
2107407,Olho D'água Das Cunhãs,MA,-4.13727592980541,-45.1195796205,42.935582,MARANHÃO
1715507,Oliveira De Fátima,TO,-10.7083627090618,-48.9074015689032,304.023053,TOCANTINS
1721000,Palmas,TO,-10.1632533267928,-48.3510437082462,234.047277,TOCANTINS
